Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2016-01-04,677.79,2,-4.56,-0.0067,686.41,691.56,677.79,502708668,3118308272650,200359428080338.0
2016-01-05,684.07,1,6.28,0.009300000000000001,670.45,684.07,670.44,741686515,3293186009887,202228765484262.0
2016-01-06,687.27,1,3.2,0.004699999999999999,687.0,689.11,675.48,747614089,4133372498792,203143710250397.0
2016-01-07,679.66,2,-7.61,-0.0111,687.5,690.65,675.01,692146349,3794254457836,200982807557119.0
2016-01-08,682.56,1,2.9,0.0043,668.03,682.56,662.28,710747718,3716144526510,201840685217029.0
2016-01-11,674.96,2,-7.6,-0.0111,681.62,685.64,674.1,586439281,3434485383685,199699504836446.0
2016-01-12,671.3,2,-3.66,-0.0054,679.1,682.26,671.23,575161845,3286232171905,198604780740592.0
2016-01-13,686.03,1,14.73,0.0219,677.35,686.03,677.35,729671258,3496826636498,202924051706035.0
2016-01-14,683.19,2,-2.84,-0.0040999999999999995,675.86,683.49,674.29,561165505,3791939940015,202171389875592.0
2016-01-15,678.43,2,-4.76,-0.006999999999999999,693.07,693.55,676.53,595825729,4169538263342,200243502812471.0
2016-01-18,683.63,1,5.2,0.0077,671.96,683.87,671.96,542383179,3528248904017,201722532656210.0
2016-01-19,681.25,2,-2.38,-0.0034999999999999996,683.22,685.2,674.93,605473841,3830314809037,201059629801573.0
2016-01-20,669.68,2,-11.57,-0.017,684.69,685.62,659.72,752779372,4502418517385,197671035549621.0
2016-01-21,665.84,2,-3.84,-0.005699999999999999,671.37,673.84,661.23,578090972,3316288217963,196566773911990.0
2016-01-22,670.95,1,5.11,0.0077,672.13,673.72,662.81,552166983,3435884141607,198137340798078.0
2016-01-25,681.43,1,10.48,0.015600000000000001,677.14,681.85,675.24,463151541,3081393747403,201143233172856.0
2016-01-26,678.85,2,-2.58,-0.0038,679.1,682.4,677.29,526894044,3165020005607,200399694787909.0
2016-01-27,675.25,2,-3.6,-0.0053,683.75,684.84,673.21,636704486,3620240750460,199404118848155.0
2016-01-28,681.29,1,6.04,0.0089,675.56,681.52,672.66,601859355,2971116852374,201414715755585.0
2016-01-29,682.8,1,1.51,0.0022,683.76,683.76,677.07,579437976,2976471415350,201893441224233.0
2016-02-01,685.55,1,2.75,0.004,687.65,688.15,681.9,450234444,2877134283471,202751412126012.0
2016-02-02,684.86,2,-0.69,-0.001,685.68,686.97,683.14,553697935,3227800441490,202629411158487.0
2016-02-03,680.94,2,-3.92,-0.005699999999999999,681.95,684.16,676.74,488886253,3027803359531,201665618237177.0
2016-02-04,683.62,1,2.68,0.0039000000000000003,683.57,684.71,678.47,536980182,3077586845960,202468701740429.0
2016-02-05,681.31,2,-2.31,-0.0034000000000000002,683.43,684.43,680.2,511581394,2848688388451,201836763959233.0
2016-02-11,647.69,2,-33.62,-0.0493,665.7,666.99,647.68,526061828,3621623322383,191835390735716.0
2016-02-12,608.45,2,-39.24,-0.060599999999999994,639.33,640.93,594.75,731130199,5547618727702,180761975233869.0
2016-02-15,621.37,1,12.92,0.0212,617.06,621.73,609.31,544902018,3133867109119,184932704357235.0
